round,dayname,day,month,year,time,home,away,venue,crowd,victoria,night,weekend,totmembers,rainfall,maxtemp,
2,Thu,27,3,2014,7:45pm,Richmond,Carlton,MCG,62037,1,1,0,113607,5,26,
2,Sun,30,3,2014,3:20pm,Melbourne,West Coast,MCG,22226,0,0,1,94440,1,24,
3,Fri,4,4,2014,7:50pm,Hawthorn,Fremantle,MCG,43583,0,1,0,117427,0,19,
3,Sat,5,4,2014,7:40pm,Collingwood,Geelong,MCG,63152,1,1,1,123150,0,24,
3,Sun,6,4,2014,7:10pm,Essendon,Carlton,MCG,62730,1,1,1,108111,0,24,
4,Fri,11,4,2014,7:50pm,Richmond,Collingwood,MCG,62100,1,1,0,145469,10,19,
4,Sat,12,4,2014,1:45pm,Carlton,Melbourne,MCG,37323,1,0,1,83396,0,22,
5,Sat,19,4,2014,1:40pm,Collingwood,North Melbourne,MCG,57116,1,0,1,118407,2,17,
5,Sun,20,4,2014,3:20pm,Melbourne,Gold Coast,MCG,17243,0,0,1,49389,0,19,
5,Mon,21,4,2014,3:20pm,Geelong,Hawthorn,MCG,80222,1,0,0,112453,0,19,
6,Fri,25,4,2014,2:40pm,Collingwood,Essendon,MCG,91731,1,0,0,139973,0,21,
6,Sat,26,4,2014,7:40pm,Melbourne,Sydney,MCG,24855,0,1,1,76037,0,19,
6,Sun,27,4,2014,3:20pm,Richmond,Hawthorn,MCG,52990,1,0,1,134772,0,17,
7,Fri,2,5,2014,7:50pm,Carlton,Collingwood,MCG,68251,1,1,0,126832,0,14,
7,Sat,3,5,2014,1:45pm,Hawthorn,St Kilda,MCG,32924,1,0,1,99389,1,16,
7,Sun,4,5,2014,3:20pm,Geelong,Richmond,MCG,34377,1,0,1,109925,6,13,
8,Sat,10,5,2014,7:40pm,Melbourne,Western Bulldogs,MCG,36326,1,1,1,67449,11,16,
9,Sat,17,5,2014,1:40pm,Richmond,Melbourne,MCG,56960,1,0,1,102033,0,20,
10,Sat,24,5,2014,4:40pm,Collingwood,West Coast,MCG,53049,0,0,1,137876,0,16,
10,Sun,25,5,2014,4:40pm,Carlton,Adelaide,MCG,32419,0,0,1,101734,1,21,
11,Sat,31,5,2014,7:45pm,Essendon,Richmond,MCG,74664,1,1,1,126748,0,19,
11,Sun,1,6,2014,4:40pm,Hawthorn,GWS,MCG,17904,0,0,1,81690,4,15,
12,Mon,9,6,2014,3:20pm,Melbourne,Collingwood,MCG,68124,1,0,0,115258,0,16,
13,Fri,13,6,2014,7:50pm,Carlton,Hawthorn,MCG,49615,1,1,0,116135,6,18,
13,Sat,14,6,2014,1:45pm,Richmond,Fremantle,MCG,22074,0,0,1,114899,0,15,
13,Sun,15,6,2014,4:40pm,Essendon,Melbourne,MCG,44622,1,0,1,96537,1,15,
14,Fri,20,6,2014,7:50pm,Richmond,Sydney,MCG,34633,0,1,0,106248,0,16,
14,Sat,21,6,2014,2:10pm,Hawthorn,Collingwood,MCG,74095,1,0,1,147997,0,16,
14,Sun,22,6,2014,4:40pm,Melbourne,North Melbourne,MCG,26615,1,0,1,74971,0,16,
15,Sun,29,6,2014,7:10pm,Collingwood,Carlton,MCG,40936,1,1,1,126832,2,11,
16,Sat,5,7,2014,1:45pm,Richmond,Brisbane,MCG,34560,0,0,1,90134,0,15,
17,Sat,12,7,2014,1:45pm,Melbourne,Geelong,MCG,36385,1,0,1,79714,4,10,
17,Sun,13,7,2014,3:20pm,Essendon,Collingwood,MCG,58992,1,0,1,139973,2,14,
18,Sat,26,7,2014,7:40pm,Hawthorn,Sydney,MCG,72760,0,1,1,108776,0,15,
18,Sun,27,7,2014,4:40pm,Collingwood,Adelaide,MCG,41482,0,0,1,133596,1,17,
19,Sat,2,8,2014,4:40pm,Richmond,GWS,MCG,23093,0,0,1,79162,11,12,
19,Sun,3,8,2014,4:40pm,Collingwood,Port Adelaide,MCG,32804,0,0,1,128315,1,14,
20,Fri,8,8,2014,7:50pm,Richmond,Essendon,MCG,58024,1,1,0,126748,3,16,
20,Sat,9,8,2014,4:40pm,Hawthorn,Melbourne,MCG,37082,1,0,1,104561,0,15,
21,Sat,16,8,2014,7:40pm,Collingwood,Brisbane,MCG,32926,0,1,1,103359,0,12,
21,Sun,17,8,2014,3:20pm,Melbourne,GWS,MCG,17218,0,0,1,48951,0,15,
22,Sat,23,8,2014,7:40pm,Hawthorn,Geelong,MCG,72212,1,1,1,112453,0,21,
22,Sun,24,8,2014,4:40pm,Richmond,St Kilda,MCG,47188,1,0,1,96861,1,16,
23,Fri,29,8,2014,7:50pm,Collingwood,Hawthorn,MCG,48973,1,1,0,147997,0,15,
23,Sat,30,8,2014,1:45pm,Carlton,Essendon,MCG,56658,1,0,1,108111,0,21,
1,Thu,2,4,2015,7:20pm,Carlton,Richmond,MCG,83493,1,1,0,118114,0,17,
1,Sat,4,4,2015,1:40pm,Melbourne,Gold Coast,MCG,27013,0,0,1,49596,0,24,
1,Mon,6,4,2015,3:20pm,Hawthorn,Geelong,MCG,73584,1,0,0,117236,0,18,
2,Sat,11,4,2015,1:45pm,Richmond,Western Bulldogs,MCG,49945,1,0,1,106031,0,24,
2,Sun,12,4,2015,3:20pm,Essendon,Hawthorn,MCG,59866,1,0,0,133742,0,18,
3,Fri,17,4,2015,7:50pm,Collingwood,St Kilda,MCG,45197,1,1,0,107783,0,17,
3,Sat,18,4,2015,1:45pm,Carlton,Essendon,MCG,54854,1,0,1,108123,4,22,
4,Fri,24,4,2015,7:50pm,Richmond,Melbourne,MCG,58175,1,1,0,106762,0,21,
4,Sat,25,4,2015,2:40pm,Essendon,Collingwood,MCG,88395,1,0,1,135855,3,15,
5,Fri,1,5,2015,7:50pm,Carlton,Collingwood,MCG,71759,1,1,0,122342,0,23,
5,Sat,2,5,2015,1:45pm,Richmond,Geelong,MCG,45228,1,0,1,115121,0,22,
5,Sun,3,5,2015,1:10pm,Melbourne,Fremantle,MCG,22892,0,0,1,87386,0,18,
6,Fri,8,5,2015,7:50pm,Collingwood,Geelong,MCG,52152,1,1,0,119349,0,16,
6,Sat,9,5,2015,7:20pm,Melbourne,Sydney,MCG,26894,0,1,1,84789,0,19,
7,Sat,16,5,2015,2:10pm,Hawthorn,Melbourne,MCG,41935,1,0,1,108877,0,16,
7,Sun,17,5,2015,3:20pm,Richmond,Collingwood,MCG,59034,1,0,1,145846,0,21,
8,Sat,23,5,2015,7:20pm,Hawthorn,Sydney,MCG,63319,0,1,1,121760,0,13,
8,Sun,24,5,2015,3:20pm,Melbourne,Western Bulldogs,MCG,29381,1,0,1,71175,0,16,
9,Sat,30,5,2015,7:20pm,Richmond,Essendon,MCG,83804,1,1,1,131627,0,17,
9,Sun,31,5,2015,3:20pm,Collingwood,North Melbourne,MCG,43452,1,0,1,116049,0,17,
10,Sat,6,6,2015,1:40pm,Carlton,Adelaide,MCG,32035,0,0,1,100225,0,17,
10,Mon,8,6,2015,3:20pm,Melbourne,Collingwood,MCG,66120,1,0,0,110990,0,19,
11,Sun,14,6,2015,1:10pm,Collingwood,GWS,MCG,43390,0,0,1,88517,0,17,
12,Fri,19,6,2015,7:50pm,Richmond,West Coast,MCG,45178,0,1,0,131030,0,12,
12,Sat,20,6,2015,1:40pm,Carlton,Port Adelaide,MCG,27693,0,0,1,101362,0,12,
13,Sat,27,6,2015,1:40pm,Hawthorn,Essendon,MCG,62500,1,0,1,133742,0,14,
14,Fri,3,7,2015,7:50pm,Collingwood,Hawthorn,MCG,75880,1,1,0,147961,3,12,
14,Sat,4,7,2015,1:40pm,Richmond,GWS,MCG,35968,0,0,1,84289,0,11,
15,Fri,10,7,2015,7:50pm,Richmond,Carlton,MCG,52564,1,1,0,118114,0,14,
15,Sat,11,7,2015,1:40pm,Essendon,Melbourne,MCG,38861,1,0,1,96771,0,13,
16,Sun,19,7,2015,1:10pm,Melbourne,Brisbane,MCG,25149,0,0,1,61361,0,12,
17,Sat,25,7,2015,4:35pm,Richmond,Fremantle,MCG,39777,0,0,1,122242,1,13,
17,Sun,26,7,2015,3:20pm,Melbourne,St Kilda,MCG,22945,1,0,1,68699,3,12,
18,Fri,31,7,2015,7:50pm,Hawthorn,Richmond,MCG,66305,1,1,0,143733,1,14,
18,Sat,1,8,2015,2:10pm,Collingwood,Melbourne,MCG,37894,1,0,1,110990,0,11,
19,Sat,8,8,2015,1:45pm,Collingwood,Carlton,MCG,48133,1,0,1,122342,0,13,
19,Sun,9,8,2015,1:10pm,Melbourne,North Melbourne,MCG,30695,1,0,1,76965,0,13,
20,Sat,15,8,2015,7:20pm,Geelong,Hawthorn,MCG,55802,1,1,1,117236,0,15,
20,Sun,16,8,2015,1:10pm,Richmond,Gold Coast,MCG,38508,0,0,1,84452,0,17,
