date,year,month,soi
 1876m1,1876,1,11
 1876m2,1876,2,11
 1876m3,1876,3,0
 1876m4,1876,4,9
 1876m5,1876,5,7
 1876m6,1876,6,17
 1876m7,1876,7,-6
 1876m8,1876,8,12
 1876m9,1876,9,11
1876m10,1876,10,-8
1876m11,1876,11,-3
1876m12,1876,12,-3
 1877m1,1877,1,-10
 1877m2,1877,2,-7
 1877m3,1877,3,-5
 1877m4,1877,4,-10
 1877m5,1877,5,4
 1877m6,1877,6,-17
 1877m7,1877,7,-10
 1877m8,1877,8,-8
 1877m9,1877,9,-17
1877m10,1877,10,-16
1877m11,1877,11,-13
1877m12,1877,12,-13
 1878m1,1878,1,-9
 1878m2,1878,2,-21
 1878m3,1878,3,-16
 1878m4,1878,4,-9
 1878m5,1878,5,2
 1878m6,1878,6,-3
 1878m7,1878,7,16
 1878m8,1878,8,13
 1878m9,1878,9,18
1878m10,1878,10,11
1878m11,1878,11,15
1878m12,1878,12,18
 1879m1,1879,1,13
 1879m2,1879,2,14
 1879m3,1879,3,13
 1879m4,1879,4,13
 1879m5,1879,5,2
 1879m6,1879,6,16
 1879m7,1879,7,22
 1879m8,1879,8,23
 1879m9,1879,9,19
1879m10,1879,10,15
1879m11,1879,11,10
1879m12,1879,12,-6
 1880m1,1880,1,11
 1880m2,1880,2,8
 1880m3,1880,3,14
 1880m4,1880,4,5
 1880m5,1880,5,12
 1880m6,1880,6,9
 1880m7,1880,7,2
 1880m8,1880,8,14
 1880m9,1880,9,8
1880m10,1880,10,5
1880m11,1880,11,7
1880m12,1880,12,-2
 1881m1,1881,1,-7
 1881m2,1881,2,-6
 1881m3,1881,3,2
 1881m4,1881,4,0
 1881m5,1881,5,-4
 1881m6,1881,6,-5
 1881m7,1881,7,-6
 1881m8,1881,8,-11
 1881m9,1881,9,-14
1881m10,1881,10,-24
1881m11,1881,11,7
1881m12,1881,12,10
 1882m1,1882,1,-7
 1882m2,1882,2,-1
 1882m3,1882,3,5
 1882m4,1882,4,1
 1882m5,1882,5,7
 1882m6,1882,6,-12
 1882m7,1882,7,-21
 1882m8,1882,8,-26
 1882m9,1882,9,-15
1882m10,1882,10,-3
1882m11,1882,11,3
1882m12,1882,12,10
 1883m1,1883,1,6
 1883m2,1883,2,9
 1883m3,1883,3,-25
 1883m4,1883,4,14
 1883m5,1883,5,14
 1883m6,1883,6,3
 1883m7,1883,7,-10
 1883m8,1883,8,1
 1883m9,1883,9,-8
1883m10,1883,10,5
1883m11,1883,11,5
1883m12,1883,12,-15
 1884m1,1884,1,-13
 1884m2,1884,2,-5
 1884m3,1884,3,9
 1884m4,1884,4,-15
 1884m5,1884,5,1
 1884m6,1884,6,9
 1884m7,1884,7,-3
 1884m8,1884,8,-5
 1884m9,1884,9,-7
1884m10,1884,10,4
1884m11,1884,11,-1
1884m12,1884,12,-13
 1885m1,1885,1,-16
 1885m2,1885,2,2
 1885m3,1885,3,5
 1885m4,1885,4,-1
 1885m5,1885,5,-4
 1885m6,1885,6,-14
 1885m7,1885,7,-5
 1885m8,1885,8,-10
 1885m9,1885,9,-4
1885m10,1885,10,-18
1885m11,1885,11,-16
1885m12,1885,12,5
 1886m1,1886,1,-1
 1886m2,1886,2,2
 1886m3,1886,3,3
 1886m4,1886,4,5
 1886m5,1886,5,6
 1886m6,1886,6,5
 1886m7,1886,7,7
 1886m8,1886,8,14
 1886m9,1886,9,14
1886m10,1886,10,13
1886m11,1886,11,11
1886m12,1886,12,14
 1887m1,1887,1,12
 1887m2,1887,2,11
 1887m3,1887,3,10
 1887m4,1887,4,9
 1887m5,1887,5,-4
 1887m6,1887,6,5
 1887m7,1887,7,5
 1887m8,1887,8,5
 1887m9,1887,9,5
1887m10,1887,10,5
1887m11,1887,11,-5
1887m12,1887,12,5
 1888m1,1888,1,-3
